School_code,AgeID,SchoolName,Street,Town_suburb,Postcode,Latitude,Longitude
5103,48586,Arncliffe West Infants School,Loftus St,Arncliffe ,2205,-33.931832,151.14516
5128,49159,Nillo Infants School,37 Belmore Road,LORN,2320,-32.727541,151.559611
8373,54678,Five Islands Secondary College,Military Rd,Port Kembla,2505,-34.489274,150.913541
5141,56242,Kyeemagh Public School,Beehag St,KYEEMAGH,2216,-33.94902,151.162305
5453,56264,Putland School,Great Western Hwy & Water St,Werrington,2747,-33.764297,150.750385
8284,57056,Georges River College Oatley Senior Campus,Oatley Ave & Hurstville Rd,Oatley ,2223,-33.977001,151.081391
8281,56647,Great Lakes College Senior Campus,The Northern Parkway,Tuncurry,2428,-32.16071754,152.4937905
5741,64076,Kamay Botany Bay Environmental Education Centre,Kamay Botany Bay Environmental Education Centre KURNELL PUBLIC SCHOOL 13-31 DAMPIER STREET KURNELL NSW 2231,,2231,-34.003706,151.221169
5711,56315,Shepherds Park School,129 Fernleigh Rd,Wagga Wagga ,2650,-35.130108,147.344225
5454,56225,Dorchester School,Briar Rd,Campbelltown ,2560,-34.088474,150.826331
5429,64079,Camden Park Environmental Education Centre,Finns Rd & Remembrance Drive,Menangle ,2568,-34.120004,150.709685
5456,56188,Girrakool School,c/o Frank Baxter YJC The Avenue,Kariong,2250,-33.4237,151.296
5540,56178,Bridge Road School,127 Parramatta Rd,Camperdown ,2050,-33.887445,151.175254
5430,64082,Georges River Environmental Education Centre,2 Central Ave,Chipping Norton ,2170,-33.910278,150.961511
5538,56158,Arndell School,Badajoz Rd,North Ryde ,2113,-33.803223,151.125535
5743,64084,Illawarra Environmental Education Centre,Killalea Drive,Dunmore,2529,-34.610625,150.854786
8277,56110,Wyndham College,Nirimba Precinct Eastern Rd,Quakers Hill ,2763,-33.72608922,150.8795746
8381,55388,Bankstown Senior College,Antwerp St,Bankstown ,2200,-33.929121,151.022569
8599,55386,Bradfield College,213 Pacific Highway,St Leonards,2065,-33.820468,151.188457
5428,55118,Field of Mars Environmental Education Centre,Pittwater Rd,East Ryde,2113,-33.816092,151.132849
8272,54742,Coffs Harbour Senior College,363 Hogbin Drive,Coffs Harbour,2450,-30.330173,153.102656
5740,64090,Rumbalara Environmental Education Centre,Donnison St,Gosford ,2250,-33.428082,151.347464
5116,49421,Glen Innes West Infants School,Coronation Ave,Glen Innes ,2370,-29.738734,151.723882
5133,49308,Stanford Merthyr Infants School,Maitland St,Stanford Merthyr ,2327,-32.823423,151.495438
5458,64093,Awabakal Environmental Education Centre,412 SANDGATE RD,SHORTLAND,2307,-32.876107,151.696132
5247,49146,New Lambton Heights Infants School,NEW LAMBTON HEIGHTS INFANTS SC 176 LOOKOUT ROAD,NEW LAMBTON HEIGHTS,2305,-32.934855,151.688027
8880,49115,Callaghan College Jesmond Senior Campus,Janet St,Jesmond ,2299,-32.900971,151.696335
5738,49036,Kotara School,Seaview & Park Aves,Kotara ,2289,-32.94283,151.700379
5513,67657,St George Hospital School,Paediatric Ward Lvl 1 East,Kogarah,2217,-33.96671,151.13399
5195,48633,Hurstville Grove Infants School,81 Landsdowne St,Penshurst ,2222,-33.973128,151.090536
5148,48591,Bardwell Park Infants School,4 Crewe Lane,Bardwell Park ,2207,-33.933428,151.12555
5246,48576,Bankstown South Infants School,Stacey St,Bankstown ,2200,-33.93123,151.038402
5241,48558,Mount Lewis Infants School,Noble Ave,Greenacre ,2190,-33.916084,151.04976
5188,48150,Sefton Infants School,180-194 Rodd St,Sefton ,2162,-33.889237,151.009588
5562,48142,Fowler Road School,Cnr Fowler Rd & Matthew St,Merrylands,2160,-33.841497,150.975533
5120,47775,Yeo Park Infants School,Victoria St,Ashfield,2131,-33.902692,151.130055
5751,67665,The Childrens Hospital School,Hawkesbury Rd & Hainsworth St,Westmead ,2145,-33.802243,150.991834
8568,47710,Northern Beaches Secondary College Freshwater Senior Campus,153 Harbord Road,FRESHWATER,2096,-33.76751,151.279975
5112,47607,Taverners Hill Infants School,Elswick St,Petersham ,2049,-33.888955,151.157199
5132,47601,Russell Lea Public School,Whittall Street,Russell Lea,2046,-33.861418,151.142572
1042,44930,Annandale North Public School,206 Johnston St,Annandale ,2038,-33.877905,151.171835
5104,47590,Australia Street Infants School,Australia St,Newtown ,2042,-33.895783,151.177607
8539,6496,Sydney Secondary College Blackwattle Bay Campus,Taylor St,Glebe ,2037,-33.875142,151.188357
8374,46489,Brisbane Water Secondary College Woy Woy Campus,25 EDWARD STREET,WOY WOY,2256,-33.492687,151.323582
8870,46426,St Marys Senior High School,Kalang Ave,St Marys,2760,-33.763119,150.770024
8325,46407,Moree Secondary College,Albert St,Moree ,2400,-29.46645,149.842344
8473,46360,Chifley College Senior Campus,67 North Parade,MOUNT DRUITT,2770,-33.769305,150.829855
8600,86659,Secondary College of Languages,"Level 11, 105 Phillip Street",Parramatta,2150,-33.8137843,151.0086802
5423,,John Brotchie Nursery School,1361 Botany Rd,Botany ,2019,-33.942627,151.196138
5750,63688,Red Hill Environmental Education Centre,Saunders Ave,Gulgong ,2852,-32.364632,149.536274
5515,63661,Stewart House School,22 Ellen St,Harbord ,2096,-33.77349,151.29131
5504,62858,Royal Far West School,22 Wentworth St,Manly ,2095,-33.798519,151.288476
5757,58125,Lincoln School,Westview St,Dubbo ,2830,-32.2313,148.5784
5650,57889,Palm Avenue School,Dragonfly Drive,Westmead,2145,-33.80257496,150.9851858
5583,57888,Verona School,135B Fairfield St,Fairfield East ,2165,-33.868235,150.9709
1512,48594,Carlton Public School,60 Cameron St,Bexley ,2207,-33.963496,151.12246
5582,57887,Wakefield School,School Rd,Wakefield ,2278,-32.956712,151.56443
8110,57696,Dubbo College Senior Campus,Tony McGrane Place,Dubbo,2830,-32.23506778,148.6285578
