HeritageItemID,ItemName,HeritageTypeName,HeritageGroupName,EndorsedSignificance,DataEntryStatus,AssessedSignificance,ListingNumber,OwnerCode1,OwnerCode2,OwnerCode3,AreaHectares,AboriginalAreaName,Suburb,Address,LocalGovtAreaName,StreetNumber,StreetName,Property
5063842,Albury Public School - Building B00B,Built,,1,Basic,1,5,11652,1017,Murray-Murrumbidgee,2.67269,Wiradjuri,Albury,481 David Street Albury 2640,Albury City,481,David Street,2 1 1 1215369
5063843,Albury Public School - Buildings B00G and B00J,Built,,1,Basic,1,5,11652,1017,Murray-Murrumbidgee,2.67269,Wiradjuri,Albury,481 David Street Albury 2640,Albury City,481,David Street,2 1 1 1215369
5063845,"Albury High School - Buildings B00A, B00G and B00L, Period Fencing and Significant Trees",Built,,1,Basic,1,5,12002,8101,Murray-Murrumbidgee,1.649,Wiradjuri,Albury,625 Kiewa Street Albury 2640,Albury City,625,Kiewa Street,2 1 1 63960
5063846,Albury High School - Building B00L,Built,,1,Basic,1,5,12002,8101,Murray-Murrumbidgee,2.35,Wiradjuri,Albury,625 Kiewa Street Albury 2640,Albury City,625,Kiewa Street,2 2 1 63960
5063848,Albury Public School - Building B00H,Built,,1,Basic,1,5,11652,1017,Murray-Murrumbidgee,2.67269,Wiradjuri,Albury,481 David Street Albury 2640,Albury City,481,David Street,2 1 1 1215369
5063849,Lavington Public School - Memorial Gates,Built,,1,Basic,1,5,12756,2378,Murray-Murrumbidgee,2.6304,Wiradjuri,Lavington,494 Urana Road and 497 Hague Street Lavington 2641,Albury City,,494 Urana Road and 497 Hague Street,1 319 and 400 1 753326
5063998,Albury High School,Complex / Group,Education,1,Basic,1,6,12002,8101,Murray-Murrumbidgee,3.999,Wiradjuri,Albury,625 Kiewa Street Albury 2640,Albury City,625,Kiewa Street,1 1 and 2 1 63960
5063850,Armidale High School - Building B00B and Grounds,Built,,1,Basic,1,5,10102,8102,New England-North West,18.2531,Anaiwan,Armidale,158-182 Butler Street Armidale 2350,Armidale Dumaresq,158-182,Butler Street,1 1 1 196298
5063851,Armidale City Public School - Grounds,Landscape,,1,Basic,1,5,12288,1057,New England-North West,2.97331,Anaiwan,Armidale,142-152 Faulkner Street Armidale 2350,Armidale Dumaresq,142-152,Faulkner Street,1 1146 1 821025
5063852,Drummond Memorial Public School - Grounds and Significant Trees,Landscape,,1,Basic,1,5,12477,1058,New England-North West,3.18364,Anaiwan,Armidale,250 Rusden Street Armidale 2350,Armidale Dumaresq,250,Rusden Street,1 10-20 Section 59 1 758032
5063853,Armidale City Public School - Site of Police Residential Complex,Archaeological-Terrestrial,,1,Basic,1,5,12288,1057,New England-North West,0.8751,Anaiwan,Armidale,142-152 Faulkner Street Armidale 2350,Armidale Dumaresq,142-152,Faulkner Street,1 6 Section 30 1 758032
5063854,Armidale City Public School - Site of National School and Superior Public School,Archaeological-Terrestrial,,1,Basic,1,5,12288,1057,New England-North West,1.1939,Anaiwan,Armidale,142-152 Faulkner Street Armidale 2350,Armidale Dumaresq,142-152,Faulkner Street,1 1 and 2 Section 30 1 758032
5063855,Armidale City Public School - Site of Old Burial Ground,Archaeological-Terrestrial,,1,Basic,1,5,12288,1057,New England-North West,0.26941,Anaiwan,Armidale,142-152 Faulkner Street Armidale 2350,Armidale Dumaresq,142-152,Faulkner Street,1 1146 1 821025
5063999,Armidale City Public School,Complex / Group,Education,1,Basic,1,6,12288,1057,Murray-Murrumbidgee,2.97331,Anaiwan,Armidale,142-152 Faulkner Street Armidale 2350,Armidale Dumaresq,142-152,Faulkner Street,1 1146 1 821025
5063856,Canterbury Boys High School - Building  B00A,Built,,1,Basic,1,5,10268,8107,Metro Central,2.723,Eora,Ashbury,220-252 Holden Street Ashbury 2193,Ashfield,220-252,Holden Street,1 100 1 738051
5063857,Summer Hill Public School - Buildings B00B and B00C,Built,,1,Basic,1,5,12862,3129,Metro Central,0.85802,Eora,Summer Hill,20-26 Junction Road Summer Hill 2130,Ashfield,20-26,Junction Road,1 1-20 Section 2 1 758
