HeritageItemID,SchoolName,HeritageTypeName,EndorsedSignificance,Suburb,Address,LocalGovtAreaName,ItemName,Latitude,Longitude,,,,
5063842,Albury Public School,Built,1,Albury,481 David Street Albury 2640,Albury City,Building B00B,-36.082454,146.919253,,,,
5063843,Albury Public School,Built,1,Albury,481 David Street Albury 2640,Albury City,Buildings B00G and B00J,-36.082454,146.919253,,,,
5063845,Albury High School,Built,1,Albury,625 Kiewa Street Albury 2640,Albury City,"Buildings B00A, B00G and B00L, Period Fencing and Significant Trees",-36.072846,146.915442,,,,
5063846,Albury High School,Built,1,Albury,625 Kiewa Street Albury 2640,Albury City,Building B00L,-36.072846,146.915442,,,,
5063848,Albury Public School,Built,1,Albury,481 David Street Albury 2640,Albury City,Building B00H,-36.082454,146.919253,,,,
5063849,Lavington Public School,Built,1,Lavington,494 Urana Road and 497 Hague Street Lavington 2641,Albury City,Memorial Gates,-36.037411,146.928265,,,,
5063998,Albury High School,Complex / Group,1,Albury,625 Kiewa Street Albury 2640,Albury City,,-36.072846,146.915442,,,,
5063850,Armidale High School,Built,1,Armidale,158-182 Butler Street Armidale 2350,Armidale Dumaresq,Building B00B and Grounds,,,,,,
5063851,Armidale City Public School,Landscape,1,Armidale,142-152 Faulkner Street Armidale 2350,Armidale Dumaresq,Grounds,-30.519501,151.664056,,,,
5063852,Drummond Memorial Public School,Landscape,1,Armidale,250 Rusden Street Armidale 2350,Armidale Dumaresq,Grounds and Significant Trees,-30.511469,151.650715,,,,
5063853,Armidale City Public School,Archaeological-Terrestrial,1,Armidale,142-152 Faulkner Street Armidale 2350,Armidale Dumaresq,Site of Police Residential Complex,-30.519501,151.664056,,,,
5063854,Armidale City Public School,Archaeological-Terrestrial,1,Armidale,142-152 Faulkner Street Armidale 2350,Armidale Dumaresq,Site of National School and Superior Public School,-30.519501,151.664056,,,,
5063855,Armidale City Public School,Archaeological-Terrestrial,1,Armidale,142-152 Faulkner Street Armidale 2350,Armidale Dumaresq,Site of Old Burial Ground,-30.519501,151.664056,,,,
5063999,Armidale City Public School,Complex / Group,1,Armidale,142-152 Faulkner Street Armidale 2350,Armidale Dumaresq,,-30.519501,151.664056,,,,
5063856,Canterbury Boys High School,Built,1,Ashbury,220-252 Holden Street Ashbury 2193,Ashfield,Building  B00A,-33.904178,151.123884,,,,
5063857,Summer Hill Public School,Built,1,Summer Hill,20-26 Junction Road Summer Hill 2130,Ashfield,Buildings B00B and B00C,-33.895815,151.135853,,,,
5063858,Dobroyd Point Public School,Complex / Group,1,Haberfield,87 Waratah Street Haberfield 2045,Ashfield,,-33.874416,151.140692,,,,
5063861,Haberfield Public School,Complex / Group,1,Haberfield,149A Bland Street Haberfield 2045,Ashfield,,-33.879467,151.134002,,,, 
5063879,Auburn Public School,Built,1,Auburn,72 and 131 Auburn Road Auburn 2144,Auburn,"Buildings B00A-B00C, B00F, B00H, B00J, B00K and B00O and Significant Tree",-33.854,151.032953,,,,
5063894,Auburn North Public School,Built,1,Auburn,153-159 Parramatta Road Auburn 2144,Auburn,"Buildings B00F, B00G and B00I and Significant Trees",-33.841669,151.038618,,,,
5063899,Berala Public School,Built,1,Berala,216 Harrow Road Berala 2141,Auburn,"Building B00A, B00C and B00G",-33.869714,151.028244,,,,
5063914,Lidcombe Public School,Built,1,Lidcombe,1 Mills Street Lidcombe 2141,Auburn,"Buildings B00A, B00B, B00D, B00G, B00H and B00I",-33.861019,151.046926,,,,
5063929,Ballina Public School,Built,1,Ballina,30-52 Crane Street Ballina 2478,Ballina,Building B00C,-28.869724,153.563707,,,,
5063930,Ballina Public School,Built,1,Ballina,30-52 Crane Street Ballina 2478,Ballina,Building B00D,-28.869724,153.563707,,,,
5063932,Ballina Coast High School,Built,1,Ballina,37-49 Swift Street Ballina 2478,Ballina,Building B00C,-28.866603,153.565058,,,,
5063938,Cabbage Tree Island Public School,Landscape,1,Cabbage Tree Island,Cabbage Tree Island 2477,Ballina,Curtilage,-28.947741,153.458499,,,,
5063944,Fernleigh Public School,Built,1,Fernleigh,451 Fernleigh Road Fernleigh 2479,Ballina,Building B00A,-28.76765,153.498399,,,,
5063945,Rous Public School,Built,1,Rous,248 Rous Road Rous 2477,Ballina,Building B00A,-28.870683,153.406624,,,,
5063946,Bankstown Public School,Built,1,Bankstown,Restwell Street Bankstown 2200,Bankstown,Buildings B001-B005,-33.921122,151.034168,,,,
5063947,Bankstown West Public School,Built,1,Bankstown,141 William Street Bankstown 2200,Bankstown,Buildings B00A-B00C and B00E,-33.915528,151.019639,,,,
5063948,Greenacre Public School,Built,1,Greenacre,105 Waterloo Road Greenacre 2190,Bankstown,"Buildings B00A, B00B and B00E",-33.911161,151.057581,,,,
5063949,Karningul School,Built,1,Regents Park,2A Bagdad Street Regents Park 2143,Bankstown,Building B00A,-33.88501,151.023804,,,,
5063950,Revesby Public School,Built,1,Revesby,84 The River Road Revesby 2212,Bankstown,Building B00E,-33.944449,151.017145,,,,
5066989,Bankstown North Public School,Built,0,Bankstown,322 Hume Highway Bankstown 2200,Bankstown,Building B00A,-33.904888,151.038043,,,,
5063952,Bathurst Public School,Built,1,Bathurst,281 George Street Bathurst 2795,Bathurst Regional,Buildings B00D-B00F,-33.420942,149.570615,,,,
5063957,Denison College of Secondary Education,Built,1,Bathurst,190 Hope Street Bathurst 2795,Bathurst Regional,Building B00H,,,,,,
5063959,O'Connell Public School,Built,1,O'Connell,15 Black Mills Lane O'Connell 2795,Bathurst Regional,Building B00A,-33.524513,149.720076,,,,
5063961,Perthville Public School,Built,1,Perthville,Prince Street Perthville 2795,Bathurst Regional,Buildings B00A and B00C,-33.491052,149.550052,,,,
5063962,Bathurst Public School,Complex / Group,1,Bathurst,281 George Street Bathurst 2795,Bathurst Regional,,-33.420942,149.570615,,,,
5064000,Denison College of Secondary Education,Complex / Group,1,Bathurst,190 Hope Street Bathurst 2795,Bathurst Regional,,,,,,,
5064001,Hill End Public School,Complex / Group,1,Hill End,19 Tambaroora Street Hill End 2850,Bathurst Regional,,-33.034573,149.415886,,,,
5064003,Perthville Public School,Complex / Group,1,Perthville,Prince Street Perthville 2795,Bathurst Regional,,-33.491052,149.550052,,,,
5064004,Rockley Public School,Complex / Group,1,Rockley,30 Hill Street Rockley 2795,Bathurst Regional,,-33.69193,149.562554,,,,
5064005,Sofala Public School,Complex / Group,1,Sofala,Turon Terrace Sofala 2795,Bathurst Regional,,-33.082242,149.695172,,,,
5064006,Wattle Flat Public School,Complex / Group,1,Wattle Flat,3807 Sofala Road Wattle Flat 2795,Bathurst Regional,,-33.141545,149.692677,,,,
5064007,Bathurst West Public School,Complex / Group,1,Bathurst,35 Suttor Road Bathurst 2795,Bathurst Regional,,-33.411002,149.559746,,,,
5066084,Kelso Public School,Complex / Group,1,Kelso,21 Gilmour Street Kelso 2795,Bathurst Regional,,-33.416969,149.605156,,,,
5064011,Bega Valley Public School,Built,3,Bega,21 Auckland Street Bega 2550,Bega Valley,former CBC Bank,-36.670545,149.839095,,,,
5064012,Bega Valley Public School,Built,1,Bega,21 Auckland Street Bega 2550,Bega Valley,"Buildings B00A, B00C and B00D",-36.670545,149.839095,,,,
5064013,Bega High School,Landscape,1,Bega,96-106 Upper Street Bega 2550,Bega Valley,Memorial Garden,-36.678459,149.838766,,,,
5064014,Bemboka Public School,Built,1,Bemboka,43-45 Nimmitabel Street Bemboka 2550,Bega Valley,Building B00A,-36.631309,149.571075,,,,
5064019,Bermagui Public School,Built,1,Bermagui,2-4 George Street Bermagui 2546,Bega Valley,Building B00E and Significant Trees,-36.420776,150.063625,,,,
5064021,Cobargo Public School,Built,1,Cobargo,20-40 Wandellow Road Cobargo 2550,Bega Valley,Buildings B00B and B00C,-36.386942,149.882818,,,,
5064022,Eden Public School,Built,1,Eden,124 Imlay Street Eden 2551,Bega Valley,Building B00F,-37.063271,149.906688,,,,
5064024,Quaama Public School,Built,1,Quaama,48 Cobargo Street Quaama 2550,Bega Valley,Buildings B00A and B00D,-36.464226,149.86705,,,,
5064025,Tanja Public School,Built,1,Tanja,7 Barrabooka Road Tanja 2550,Bega Valley,Buildings B00A and B00C,-36.64029,149.975072,,,,
5064026,Towamba Public School,Built,1,Towamba,9 Towamba Street Towamba 2550,Bega Valley,Buildings B00A and B00E,-37.084209,149.695158,,,,
5064027,Wyndham Public School,Built,1,Wyndham,31-37 Wyndham Road Wyndham 2550,Bega Valley,Buildings B00A and B00F,-36.92962,149.64656,,,,
5064029,Wyndham Public School,Complex / Group,1,Wyndham,31-37 Monaro Street Wyndham 2550,Bega Valley,,-36.92962,149.64656,,,,
5064030,Bellingen High School,Landscape,1,Bellingen,1125 Waterfall Way Bellingen 2454,Bellingen,Landscape,-30.455123,152.908442,,,,
5064031,Bellingen Public School,Landscape,1,Bellingen,32A William Street Bellingen 2454,Bellingen,Landscape,-30.45349,152.891887,,,,
5064035,Cascade Environmental Education Centre,Landscape,1,Cascade,700 Briggsvale Road Cascade 2453,Bellingen,Landscape,-30.233457,152.789665,,,,
5064037,Dorrigo Public  School,Landscape,1,Dorrigo,2 Hickory Street Dorrigo 2453,Bellingen,Landscape,,,,,,
5064038,Dorrigo High School,Landscape,1,Dorrigo,4183 Waterfall Way Dorrigo 2453,Bellingen,Landscape,-30.339222,152.705492,,,,
5064039,Raleigh Public School,Landscape,1,Raleigh,12 North Street Raleigh 2454,Bellingen,Landscape,-30.450064,153.012586,,,,
5064040,Repton Public School,Landscape,1,Repton,1-11 River Street Repton 2454,Bellingen,Landscape,-30.446021,153.029037,,,,
5064041,Urunga Public School,Landscape,1,Urunga,1-3 Bonville Street Urunga 2455,Bellingen,Landscape,-30.495206,153.020428,,,,
5064043,Tocumwal Public School,Built,1,Tocumwal,17-33 Hennessy Street Tocumwal 2714,Berrigan,Building B00A,-35.813862,145.56885,,,,
5064044,Marsden Park Public School,Built,1,Marsden Park,363 Garfield Road West Marsden Park 2765,Blacktown,Building B00G,-33.696425,150.833642,,,,
5064045,Colyton Public School,Built,1,Mount Druitt,59 Nelson Street Mount Druitt 2770,Blacktown,Building B00K,-33.777199,150.81316,,,,
5064046,Colyton Public School,Built,1,Mount Druitt,59 Nelson Street Mount Druitt 2770,Blacktown,Building B00I,-33.777199,150.81316,,,,
5064047,Plumpton House School,Built,1,Plumpton,327 Rooty Hill Road Plumpton 2761,Blacktown,Building B00A,-33.75029,150.840732,,,,
5064048,Casuarina School,Built,1,Riverstone,100 Garfield Road Riverstone 2765,Blacktown,Building B00A,-33.677516,150.866346,,,,
5064049,Riverstone High School,Built,1,Riverstone,71 McCulloch Street Riverstone 2765,Blacktown,Building B00M,-33.678883,150.875744,,,,
5064051,The Meadows Public School,Built,1,Seven Hills,2C Fuller Street Seven Hills 2147,Blacktown,Building B00F,-33.781365,150.942567,,,,
5064052,Seven Hills North Public School,Built,1,Seven Hills,45 Beethoven Street Seven Hills 2147,Blacktown,Buildings B00C and B0D,-33.759976,150.955041,,,,
5064053,Blayney Public School,Built,1,Blayney,2 Lindsay Street Blayney 2799,Blayney,Building B00A and Significant Trees,-33.528987,149.251583,,,,
5064054,Blayney High School,Landscape,1,Blayney,1 Water Street Blayney 2799,Blayney,Significant Trees,-33.531048,149.251081,,,,
5064055,Carcoar Public School,Built,1,Carcoar,13 Icely Street Carcoar 2791,Blayney,Building B00A and B00C and Significant Trees,-33.612326,149.142432,,,,
5064056,Lyndhurst Public School,Built,1,Lyndhurst,8 Russart Street Lyndhurst 2797,Blayney,Buildings B00A and B00B and Significant Trees,-33.673266,149.044914,,,,
5064057,Millthorpe Public School,Built,1,Millthorpe,32 Park Street Millthorpe 2798,Blayney,Buildings B00B-B00D and Significant Trees,-33.445146,149.185939,,,,
5064058,Millthorpe Public School,Landscape,1,Millthorpe,54 Park Street Millthorpe 2798,Blayney,Effluent Disposal Area,-33.445146,149.185939,,,,
5064059,Neville Public School,Built,1,Neville,8 Crouch Street Neville 2799,Blayney,Building B00A,-33.708658,149.216784,,,,
5064060,Blayney Public School,Complex / Group,1,Blayney,2 Lindsay Street Blayney 2799,Blayney,,-33.528987,149.251583,,,,
5064061,Blayney High School,Complex / Group,1,Blayney,1 Water Street Blayney 2799,Blayney,,-33.531048,149.251081,,,,
5064062,Carcoar Public School,Complex / Group,1,Carcoar,13 Icely Street Carcoar 2791,Blayney,,-33.612326,149.142432,,,,
5064063,Millthorpe Public School,Complex / Group,1,Millthorpe,32 Park Street Millthorpe 2798,Blayney,,-33.445146,149.185939,,,,
5064064,Blackheath Public School,Built,1,Blackheath,201 Great Western Highway Blackheath 2785,Blue Mountains ,Building B00B,-33.639284,150.285831,,,,
5064065,Blackheath Public School,Archaeological-Terrestrial,1,Blackheath,201 Great Western Highway Blackheath 2785,Blue Mountains ,Blackheath Stockade site,-33.639284,150.285831,,,,
5064066,Blackheath Public School,Built,1,Blackheath,207 Great Western Highway Blackheath 2785,Blue Mountains ,Building B00E,-33.639284,150.285831,,,,
5064067,The Warruwii Centre,Built,1,Glenbrook,10 Park Street Glenbrook 2773,Blue Mountains ,Building B00A,,,,,,
5064069,Lawson Public School,Archaeological-Terrestrial,1,Lawson,2-12 Wilson Street Lawson 2783,Blue Mountains ,Former Blue Mountains Inn site,-33.721217,150.428243,,,,
5064070,Mount Victoria Public School,Built,1,Mount Victoria,105-107 Great Western Highway Mount Victoria 2786,Blue Mountains ,Building B00C,-33.591334,150.253883,,,,
5064071,Wentworth Falls Public School,Built,1,Wentworth Falls,52-58 Falls Road Wentworth Falls 2782,Blue Mountains ,Buildings B00F and B00G,-33.714112,150.373525,,,,
5064072,Mount Victoria Public School,Complex / Group,1,Mount Victoria,105-107 Great Western Highway Mount Victoria 2786,Blue Mountains ,,-33.591334,150.253883,,,,
5064182,Mount Wilson Adult Education Centre,Built,1,Mount Wilson,51 Wilson Street Mount Wilson 2786,Blue Mountains ,Buildings B00A and B00B,,,,,,
5064073,Banksmeadow Public School,Built,1,Botany,60 Brighton Street Botany 2019,Botany Bay,"Building B00A, B00B and B00S",-33.953739,151.20661,,,,
5064074,Botany Public School,Built,1,Botany,1076 Botany Road Botany 2019,Botany Bay,"Buildings B00A, B00B and B00C",-33.94316,151.194687,,,,
5064076,John Brotchie Nursery School,Built,1,Botany,1361 Botany Road Botany 2019,Botany Bay,Building B00A,-33.942627,151.196138,,,,
5064078,Daceyville Public School,Built,1,Daceyville,Joffre Crescent Daceyville 2032,Botany Bay,Buildings B00A-B00C and B00E,-33.929548,151.227984,,,,
5064081,Matraville Public School,Built,1,Hillsdale,Bunnerong Road Hillsdale 2036,Botany Bay,Building B00B,-33.955064,151.229111,,,,
5064082,Mascot Public School,Built,1,Mascot,King Street Mascot 2020,Botany Bay,Building B00A and B00B,-33.928577,151.192485,,,,
5064123,Daceyville Public School,Complex / Group,1,Daceyville,Joffre Crescent Daceyville 2032,Botany Bay,,-33.929548,151.227984,,,,
5064124,Botany Public School,Complex / Group,1,Botany,1076 Botany Road Botany 2019,Botany Bay,,-33.94316,151.194687,,,,
5064125,John Brotchie Nursery School,Complex / Group,1,Botany,1361 Botany Road Botany 2019,Botany Bay,,-33.942627,151.196138,,,,
5064085,Broken Hill North Public School,Built,1,Broken Hill,619 Chapple Street Broken Hill 2880,Broken Hill,"Buildings B00A-B00C, B00E and B00F",-31.944457,141.471518,,,,
5064086,Broken Hill High School,Built,1,Broken Hill,76 Garnet Street Broken Hill 2880,Broken Hill,"Buildings B00A, B00E, B00T and B00T1",-31.960105,141.456986,,,,
5064087,School of the Air,Built,1,Broken Hill,586 Lane Street Broken Hill 2880,Broken Hill,Building B00A,-31.945382,141.472,,,,
5064088,Burke Ward Public School,Built,1,Broken Hill,185 Ratkow Street Broken Hill 2880,Broken Hill,Buildings B00A-B00D and B00F,-31.960361,141.441054,,,,
5064089,Alma Public School,Complex / Group,1,Broken Hill,29 Comstock Street Broken Hill 2880,Broken Hill,,-31.982217,141.462443,,,,
5066455,Broken Hill Public School,Built,0,Broken Hill,135 Bromide Street Broken Hill 2880,Broken Hill,Buildings B00A-B00C,-31.956108,141.456502,,,,
5064090,Burwood Public School,Built,1,Burwood,1-5 Conder Street Burwood 2134,Burwood,Building B00B,-33.8768,151.098987,,,,
5064091,Burwood Public School,Built,1,Burwood,1-5 Conder Street Burwood 2134,Burwood,Building B00A,-33.8768,151.098987,,,,
5064092,Burwood Girls High School,Built,1,Burwood,95 Queen Street Burwood 2134,Burwood,"Buildings B00A-B00D, B00K, B00M and B00N",-33.875318,151.113036,,,,
5064093,Croydon Public School,Built,1,Croydon,39 Young Street Croydon 2132,Burwood,Building B00E,-33.879793,151.114887,,,,
5064094,Bangalow Public School,Built,1,Bangalow,45-71 Byron Street Bangalow 2479,Byron,Building B00A,-28.68554,153.525743,,,,
5064095,Brunswick Heads Public School,Built,1,Brunswick Heads,Fingal Street Brunswick Heads 2483,Byron,Building B00F,-28.541343,153.550848,,,,
5064096,Byron Bay Public School,Built,1,Byron Bay,17 Kingsley Street Byron Bay 2481,Byron,Buildings B00A and B00B,-28.647416,153.614826,,,,
5064097,Eureka Public School,Built,1,Eureka,438 Eureka Road Eureka 2480,Byron,Buildings B00A and B00H and Landscape,-28.687657,153.439223,,,,
5064098,Bangalow Public School,Complex / Group,1,Bangalow,45-71 Byron Street Bangalow 2479,Byron,,-28.68554,153.525743,,,,
5064126,Byron Bay Public School,Complex / Group,1,Byron Bay,17 Kingsley Street Byron Bay 2481,Byron,,-28.647416,153.614826,,,,
5064127,Eureka Public School,Complex / Group,1,Eureka,438 Eureka Road Eureka 2480,Byron,,-28.687657,153.439223,,,,
5064128,Borenore Public School,Built,1,Borenore,1243 The Escort Way Borenore 2800,Cabonne,Building B00B,-33.251005,148.984209,,,,
5064129,Eugowra Public School,Movable / Collection,1,Eugowra,3 Hill Street Eugowra 2806,Cabonne,Movable Items,-33.423082,148.369286,,,,
5064130,Camden Public School,Built,1,Camden,25 John Street Camden 2570,Camden,Building I and Potential Archaeology,-34.051998,150.693236,,,,
5064131,Camden Park Environmental Education Centre,Landscape,3,Menangle,60 Woodbridge Road Menangle 2568,Camden,,-34.120004,150.709685,,,,
5064132,Cobbitty Public School,Built,1,Cobbitty,308 Cobbitty Road Cobbitty 2570,Camden,Buildings B00A and B00E,-34.0159,150.685938,,,,
5064133,Narellan Public School,Built,1,Narellan,290 Camden Valley Way Narellan 2567,Camden,Buildings B00A and B00B and Landscape,-34.042764,150.733769,,,,
5064134,Rossmore Public School,Built,1,Rossmore,633 Bringelly Road Rossmore 2557,Camden,Buildings B00E-B00G,-33.946493,150.770857,,,,
5064136,Camden Public School,Complex / Group,1,Camden,25 John Street Camden 2570,Camden,,-34.051998,150.693236,,,,
5065988,Leppington Public School,Built,1,Leppington,144 Rickards Road Leppington 2171,Camden,Buildings B00H-B00M,-33.959269,150.810901,,,,
5064137,Hurlstone Agricultural High School,Built,1,Glenfield,Roy Watts Road Glenfield 2167,Campbelltown ,Building B00E,-33.970383,150.893629,,,,
5064138,Ingleburn Public School,Built,1,Ingleburn,51 Oxford Road Ingleburn 2565,Campbelltown ,Buildings B00A and B00F,-34.000332,150.866612,,,,
5066343,"Ajuga, Campbell House and Glenfield Park School",Built,0,Glenfield,Campbelltown Road Glenfield 2167,Campbelltown ,"Buildings B00A-B00J, B00L and B00N, Residence, Ancillary structures, Landscape and Grounds",,,,,,
